nu,[0]2-(Perfluorononyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
607.892711,1.0
607.952976,1.0
608.013241,1.0
608.073506,1.0
608.133771,1.0
608.194036,1.0
608.254301,1.0
608.314566,1.0
608.374831,1.0
608.435096,1.0
608.495361,1.0
608.555626,1.0
608.615891,1.0
608.676156,1.0
608.736421,1.0
608.796686,1.0
608.856951,1.0
608.917216,1.0
608.977481,1.0
609.037746,1.0
609.098011,1.0
609.158276,1.0
609.218541,1.0
609.278806,1.0
609.339071,1.0
609.399336,1.0
609.459601,1.0
609.519866,1.0
609.580131,1.0
609.640396,1.0
609.70066,1.0
609.760925,1.0
609.82119,1.0
609.881455,1.0
609.94172,1.0
610.001985,1.0
610.06225,1.0
610.122515,1.0
610.18278,1.0
610.243045,1.0
610.30331,1.0
610.363575,1.0
610.42384,1.0
610.484105,1.0
610.54437,1.0
610.604635,1.0
610.6649,1.0
610.725165,1.0
610.78543,1.0
610.845695,1.0
610.90596,1.0
610.966225,1.0
611.02649,1.0
611.086755,1.0
611.14702,1.0
611.207285,1.0
611.26755,1.0
611.327815,1.0
611.38808,1.0
611.448345,1.0
611.50861,1.0
611.568875,1.0
611.62914,1.0
611.689405,1.0
611.74967,1.0
611.809935,1.0
611.870199,1.0
611.930464,1.0
611.990729,1.0
612.050994,1.0
612.111259,1.0
612.171524,1.0
612.231789,1.0
612.292054,1.0
612.352319,1.0
612.412584,1.0
612.472849,1.0
612.533114,1.0
612.593379,1.0
612.653644,1.0
612.713909,1.0
612.774174,1.0
612.834439,1.0
612.894704,1.0
612.954969,1.0
613.015234,1.0
613.075499,1.0
613.135764,1.0
613.196029,1.0
613.256294,1.0
613.316559,1.0
613.376824,1.0
613.437089,1.0
613.497354,1.0
613.557619,1.0
613.617884,1.0
613.678149,1.0
613.738414,1.0
613.798679,1.0
613.858944,1.0
613.919209,1.0
613.979474,1.0
614.039738,1.0
614.100003,1.0
614.160268,1.0
614.220533,1.0
614.280798,1.0
614.341063,1.0
614.401328,1.0
614.461593,1.0
614.521858,1.0
614.582123,1.0
614.642388,1.0
614.702653,1.0
614.762918,1.0
614.823183,1.0
614.883448,1.0
614.943713,1.0
615.003978,1.0
615.064243,1.0
615.124508,1.0
615.184773,1.0
615.245038,1.0
615.305303,1.0
615.365568,1.0
615.425833,1.0
615.486098,1.0
615.546363,1.0
615.606628,1.0
615.666893,1.0
615.727158,1.0
615.787423,1.0
615.847688,1.0
615.907953,1.0
615.968218,1.0
616.028483,1.0
616.088748,1.0
616.149013,1.0
616.209277,1.0
616.269542,1.0
616.329807,1.0
616.390072,1.0
616.450337,1.0
616.510602,1.0
616.570867,1.0
616.631132,1.0
616.691397,1.0
616.751662,1.0
616.811927,1.0
616.872192,1.0
616.932457,1.0
616.992722,1.0
617.052987,1.0
617.113252,1.0
617.173517,1.0
617.233782,1.0
617.294047,1.0
617.354312,1.0
617.414577,1.0
617.474842,1.0
617.535107,1.0
617.595372,1.0
617.655637,1.0
617.715902,1.0
617.776167,1.0
617.836432,1.0
617.896697,1.0
617.956962,1.0
618.017227,1.0
618.077492,1.0
618.137757,1.0
618.198022,1.0
618.258287,1.0
618.318551,1.0
618.378816,1.0
618.439081,1.0
618.499346,1.0
618.559611,1.0
618.619876,1.0
618.680141,1.0
618.740406,1.0
618.800671,1.0
618.860936,1.0
618.921201,1.0
618.981466,1.0
619.041731,1.0
619.101996,1.0
619.162261,1.0
619.222526,1.0
619.282791,1.0
619.343056,1.0
619.403321,1.0
619.463586,1.0
619.523851,1.0
619.584116,1.0
619.644381,1.0
619.704646,1.0
619.764911,1.0
619.825176,1.0
619.885441,1.0
619.945706,1.0
620.005971,1.0
620.066236,1.0
620.126501,1.0
620.186766,1.0
620.247031,1.0
620.307296,1.0
620.367561,1.0
620.427826,1.0
620.48809,1.0
620.548355,1.0
620.60862,1.0
620.668885,1.0
620.72915,1.0
620.789415,1.0
620.84968,1.0
620.909945,1.0
