nu,[0]HFC-365mfc-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
876.971046,0.8182805749741158
877.2121,0.8155439215018592
877.453154,0.8110058593880799
877.694208,0.8116630402565046
877.935262,0.8025508993564205
878.176316,0.7971917814233603
878.41737,0.793445836757576
878.658424,0.7845382114222702
878.899478,0.7807502208109257
879.140532,0.7708665556274826
879.381586,0.7650760793268324
879.62264,0.7627080158756924
879.863694,0.7543566592019108
880.104748,0.7501740745370067
880.345802,0.7371970904148066
880.586856,0.7321352604905631
880.82791,0.7227585993925845
881.068964,0.7106608266910417
881.310018,0.7054495639776942
881.551072,0.698081095712001
881.792126,0.6865954670533007
882.03318,0.6802329268363588
882.274234,0.6695429255992321
882.515288,0.6661835805192124
882.756342,0.6553800386009855
882.997396,0.6445454108802953
883.23845,0.6366596930462861
883.479504,0.6285812394732548
883.720558,0.6182700146719246
883.961612,0.6130369914032282
884.202666,0.6036443976733351
884.44372,0.5956809941060023
884.684774,0.5899839180477807
884.925828,0.5768055909560708
885.166882,0.5657516941230849
885.407936,0.5583719285605875
885.64899,0.5527773392735267
885.890044,0.5440522439851602
886.131098,0.5409437389990086
886.372152,0.529469350218694
886.613206,0.5241329004531242
886.85426,0.5213102109115717
887.095314,0.5090342377291353
887.336368,0.5051398284567631
887.577422,0.4971169344381403
887.818476,0.4920770347752166
888.05953,0.48106157621060347
888.300584,0.4782555815265638
888.541638,0.47052320561187383
888.782692,0.4673064624652466
889.023746,0.4591767806691971
889.2648,0.4512517009156453
889.505854,0.44893821791768274
889.746908,0.4466499950128352
889.987962,0.44135311925916304
890.229016,0.4314990370909838
890.47007,0.43271758171597213
890.711124,0.4276329691587831
890.952178,0.4229463246786413
891.193232,0.4216414376241493
891.434286,0.42005484201620386
891.67534,0.41483683696516743
891.916394,0.4136645083439768
892.157448,0.41231403462958816
892.398502,0.40988034636949444
892.639556,0.4111488354460946
892.88061,0.41084058942621654
893.121664,0.4132097275600866
893.362718,0.4135569695524561
893.603772,0.41781772757145735
893.844826,0.42271799531779064
894.08588,0.42256161859100155
894.326934,0.425240664889511
894.567988,0.4242213110077241
894.809042,0.42751752384292924
895.050096,0.43257480847288665
895.29115,0.43527816173133016
895.532204,0.43731129147809006
895.773258,0.4457531301739744
896.014312,0.4460741879946454
896.255366,0.45234957592677205
896.49642,0.45597832659237286
896.737474,0.4595534600467841
896.978528,0.467147605275261
897.219582,0.4721068225693517
897.460636,0.4759273797215107
897.70169,0.4828641151523532
897.942744,0.48740981525817706
898.183798,0.4918654871362652
898.424852,0.5033900309065288
898.665906,0.50539751547388
898.90696,0.5138417193282676
899.148014,0.5188813679890366
899.389068,0.5255972730953224
899.630122,0.5365583297936175
899.871176,0.5394581872865729
900.11223,0.5470855993753785
900.353284,0.553064858238401
900.594338,0.564435027188428
900.835392,0.5760619914685255
901.076446,0.578428694058501
901.3175,0.5882930916993907
901.558554,0.5957882263355525
901.799608,0.6043692057484112
902.040662,0.6166769339918301
902.281716,0.6193467409776817
902.52277,0.6312078960145256
902.763824,0.642788201590631
903.004878,0.6474070809697454
903.245932,0.6547904619155495
903.486986,0.6692350066802375
903.72804,0.673168236928555
903.969094,0.6799268908825364
