nu,[0]Ethane-1-1-2-2-tetrafluoro-1-2-dimethoxy--HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
413.793861,0.9897489043432955
414.069356,0.9898914384477302
414.344852,0.9902205330543637
414.620347,0.9905394354065306
414.895842,0.989646965456091
415.171337,0.9904342457041624
415.446833,0.9897013975360596
415.722328,0.9893253824523864
415.997823,0.9889692894152962
416.273318,0.9882960305998502
416.548814,0.9878830091865486
416.824309,0.9867564774816219
417.099804,0.9860640175163149
417.375299,0.9856686851147348
417.650795,0.9851050438436206
417.92629,0.9846332915213206
418.201785,0.9844915145355295
418.477281,0.9846224606146841
418.752776,0.9849700936969101
419.028271,0.9846500304295569
419.303766,0.9849129670881634
419.579262,0.9855573108460816
419.854757,0.9863786221146682
420.130252,0.9866311673663425
420.405747,0.986908449680713
420.681243,0.9874731227950452
420.956738,0.9875136100230623
421.232233,0.9874494237244881
421.507728,0.9876054530594294
421.783224,0.9881734894897617
422.058719,0.9878118841704184
422.334214,0.9888041453338784
422.609709,0.9890167610804989
422.885205,0.9892373364114552
423.1607,0.989664779261793
423.436195,0.9894203622480592
423.711691,0.9893758393335311
423.987186,0.988945554437171
424.262681,0.9891186350533098
424.538176,0.9897360376911725
424.813672,0.9905258651092221
425.089167,0.9907463807092712
425.364662,0.9913336710114092
425.640157,0.9922135725109198
425.915653,0.9933324275635376
426.191148,0.993444680470022
426.466643,0.9935910256495132
426.742138,0.9930840261872909
427.017634,0.9932541560521836
427.293129,0.9927644038852306
