nu,[0]n-Butylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
714.178284,0.9132770447528253
714.306286,0.912807740973226
714.434289,0.9118890062386418
714.562291,0.9111133187961522
714.690294,0.9111734542596412
714.818296,0.9105012563219457
714.946299,0.9089628997445666
715.074301,0.9088347450108236
715.202304,0.9085930271185557
715.330307,0.9070343114313466
715.458309,0.9070560805160489
715.586312,0.9060289679459697
715.714314,0.906013565584435
715.842317,0.904511735191896
715.970319,0.9044303327988913
716.098322,0.9040867145640272
716.226325,0.9026684120809421
716.354327,0.9019285273772224
716.48233,0.9013064113480447
716.610332,0.9011261680907016
716.738335,0.8995865590841313
716.866337,0.8992178041948248
716.99434,0.8989211112764645
717.122342,0.8977083865496145
717.250345,0.8966317825773308
717.378348,0.8959326824714061
717.50635,0.8951177545787851
717.634353,0.8948492595286827
717.762355,0.8939816765926896
717.890358,0.8934901218605062
718.01836,0.8916960104016152
718.146363,0.8913304899741585
718.274365,0.8907602209661228
718.402368,0.889976696772881
718.530371,0.8881274691070741
718.658373,0.8873462607163657
718.786376,0.8870889676100616
718.914378,0.8856973306517799
719.042381,0.8849536572805763
719.170383,0.8840691459526689
719.298386,0.8833975086562457
719.426389,0.8816060306790288
719.554391,0.8810772257179739
719.682394,0.8803374316053979
719.810396,0.8784116021831053
719.938399,0.8780251860959182
720.066401,0.8768055789106055
720.194404,0.8759554898589064
720.322406,0.8744501413871533
720.450409,0.8734276330057761
720.578412,0.8720574275147192
720.706414,0.8706893715584567
720.834417,0.8698800068558291
720.962419,0.8690279420290691
721.090422,0.8681506669061325
721.218424,0.8668320802721489
721.346427,0.8653856787794965
721.474429,0.8649703933301637
721.602432,0.8626208706596963
721.730435,0.8620862114813594
721.858437,0.8606649421021036
721.98644,0.8595811871840341
722.114442,0.8581297218113938
722.242445,0.8567835151968644
722.370447,0.8559870769289292
722.49845,0.8546100465419851
722.626453,0.8526040708771843
722.754455,0.8511303409784895
722.882458,0.8505517690833628
723.01046,0.8487759722400846
723.138463,0.8476902340163199
723.266465,0.8469361253361856
723.394468,0.844601804474873
723.52247,0.8434117551125253
723.650473,0.8422149603456514
723.778476,0.840557430077144
723.906478,0.8392555752586509
724.034481,0.837612245320568
724.162483,0.8370847157952646
