nu,[0]Styrene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
633.158663,0.9931820484179931
633.276666,0.9929304079711151
633.394668,0.9934165663833809
633.51267,0.9933767311777701
633.630673,0.9926304889999086
633.748675,0.9928769897521292
633.866677,0.993906938448246
633.98468,0.9928057037434633
634.102682,0.9927931944704047
634.220684,0.9931055763444775
634.338687,0.9933970956094941
634.456689,0.9929606928103997
634.574691,0.993146493137103
634.692694,0.9929270320134671
634.810696,0.9930843241125434
634.928699,0.992970622466976
635.046701,0.9931942646323182
635.164703,0.9934540188939089
635.282706,0.9932883245828472
635.400708,0.9931887027600095
635.51871,0.993174698898028
635.636713,0.9929473872262636
635.754715,0.9933467316534837
635.872717,0.993173109819781
635.99072,0.9931870143406499
636.108722,0.9931823463726522
636.226725,0.993388850447818
636.344727,0.992736805418423
636.462729,0.9935783077657795
636.580732,0.993233496580597
636.698734,0.9931801613738938
636.816736,0.9934113012895316
636.934739,0.9930998163488387
637.052741,0.9935640996975663
637.170743,0.9933086872022173
637.288746,0.9935554557275003
637.406748,0.9931492739511769
637.52475,0.9930217617708588
637.642753,0.9928733161140634
637.760755,0.9930711161788657
637.878758,0.9933238849413939
637.99676,0.9935708559564156
638.114762,0.9930198750313038
638.232765,0.9936074200366897
638.350767,0.9932773984713705
638.468769,0.9933336195631659
638.586772,0.9933014360752673
638.704774,0.9930110371937445
638.822776,0.9932429323436344
638.940779,0.9932958736028002
639.058781,0.9935977820914594
639.176784,0.9933027273679735
639.294786,0.9935422415278138
639.412788,0.9934651456412302
639.530791,0.9930058735497765
639.648793,0.9932250541317565
639.766795,0.9934388191636981
639.884798,0.9935280339753442
640.0028,0.9936466683049293
640.120802,0.9937977140776996
640.238805,0.9935582376866711
640.356807,0.9934428922712065
640.474809,0.9938210685983949
640.592812,0.9933169316985356
640.710814,0.9934346467294197
640.828817,0.9933107731526506
640.946819,0.9936883029725715
641.064821,0.9935887403927822
641.182824,0.9934378257253756
641.300826,0.9933652080745227
641.418828,0.9935044876399641
641.536831,0.9933545791236612
641.654833,0.9935163104137124
641.772835,0.993384479546492
641.890838,0.9935041895886625
642.00884,0.9932152212523935
642.126843,0.9930395370194824
642.244845,0.9936872099160394
642.362847,0.9934682253879553
