nu,[0]Acetonitrile-HITRAN(x-sec)-X=0.01-T=203.2K-P=0.1321atm-L=15cm
884.870897,0.9998905259927166
884.887298,0.9986762768953588
884.903698,0.9997751052926069
884.920098,0.9988597505789663
884.936499,0.9986582010183341
884.952899,0.999005984361174
884.969299,0.9992650002447481
884.9857,0.998941660436772
885.0021,0.9988991064284443
885.0185,0.9987181223080159
885.034901,0.9984303332175667
885.051301,0.9992184255885175
885.067701,0.9990265940672198
885.084102,0.9992678281687003
885.100502,0.9996206119858403
885.116902,0.9994015791252367
885.133303,0.9993565570982259
885.149703,0.9994639337348902
885.166103,0.9993713177035811
885.182504,0.9997654475117369
885.198904,0.9990178825933017
885.215304,0.9997647976644073
885.231705,0.9996097361727464
885.248105,0.9989838166643327
885.264505,0.998184250471373
885.280906,0.9986251459789444
885.297306,0.9979212635714195
885.313706,0.9974642205342779
885.330107,0.9980488060586953
885.346507,0.9969690027751074
885.362907,0.9972437055739449
885.379308,0.997641286147531
885.395708,0.9979715600705646
885.412108,0.9983324918392171
885.428509,0.9989038012652773
885.444909,0.9991502012836226
885.461309,0.9985931904855636
885.47771,0.998773852334094
885.49411,0.9987450880613543
885.51051,0.9989249782503394
885.526911,0.9981311484817734
885.543311,0.9983295966791889
885.559711,0.9986129628264807
885.576112,0.9977651011137016
885.592512,0.9988109075313852
885.608912,0.9993343516422307
885.625313,0.9996367359963514
885.641713,0.9992122404456062
885.658113,0.9991219856803445
885.674513,0.9999693674691855
885.690914,0.9994627243842621
885.707314,0.999854330610816
885.723714,0.9998844366779552
885.740115,0.9998012597514602
885.756515,0.9999341951652331
885.772915,0.9997761150659732
885.789316,0.999679951226539
885.805716,0.9993960724377067
885.822116,0.9998985951418202
885.838517,0.9998118676991012
885.854917,0.9992792598580437
885.871317,0.9994450540395012
885.887718,0.9992954882849983
885.904118,0.9996609874777359
885.920518,0.9997228184219137
885.936919,0.999206874690282
885.953319,0.9995245430654882
885.969719,0.9999330962381565
885.98612,0.9999268716740064
886.00252,0.9994417758651002
886.01892,0.9997216087580353
886.035321,0.9999253487865405
886.051721,0.9997835634257756
886.068121,0.9991105757724188
886.084522,0.9996217615502051
886.100922,0.9999550900084838
886.117322,0.9993631628669004
886.133723,0.9997765149764992
886.150123,0.9997237681590423
886.166523,0.9995410253610996
886.182924,0.9995763097820611
886.199324,0.9995444238063631
886.215724,0.9993690691206459
886.232125,0.9991454453399836
886.248525,0.999205056135425
886.264925,0.9991360833910216
886.281326,0.99966344664679
886.297726,0.9996077969317393
886.314126,0.9999665915580744
886.330527,0.9994633640406103
886.346927,0.9996161336955299
886.363327,0.999614874179995
886.379728,0.99922504043639
886.396128,0.9998430723144376
886.412528,0.9990579340230403
886.428929,0.9992903119477756
886.445329,0.9992201442456875
886.461729,0.9998988751134661
886.47813,0.9999434925966034
886.49453,0.9996241706415533
886.51093,0.9990400710268758
886.527331,0.9994341901308093
886.543731,0.9987960253597354
886.560131,0.9987247138693753
886.576532,0.998839673699753
886.592932,0.9992624721074956
886.609332,0.9992984761829752
886.625733,0.9990673252117587
886.642133,0.9991345746966748
886.658533,0.9992670387474278
886.674933,0.9994722692988568
886.691334,0.9996508609632236
886.707734,0.9991069290254725
886.724134,0.9983101294418597
886.740535,0.9990278928026363
886.756935,0.999117689465043
886.773335,0.9991065193917156
886.789736,0.9988757324628303
886.806136,0.9999155185687572
886.822536,0.9989950053457357
886.838937,0.9990061142319605
886.855337,0.9983166184787905
886.871737,0.9985097115843057
886.888138,0.9991816450352218
886.904538,0.999000499833375
886.920938,0.9988148029015206
886.937339,0.9986166577012787
886.953739,0.9987141274435164
886.970139,0.9985649306981508
886.98654,0.9989740266709004
887.00294,0.9985635327082264
887.01934,0.9992671286814654
887.035741,0.9996748828620345
887.052141,0.9996835800713483
887.068541,0.9990459753711428
887.084942,0.9990490724184669
887.101342,0.999094320375589
887.117742,0.9989113929630153
887.134143,0.999702994114983
887.150543,0.9998424424135004
887.166943,0.9999302164349863
887.183344,0.9998363433932037
887.199744,0.9993759148222159
887.216144,0.9994409863064091
887.232545,0.9997094322229958
887.248945,0.999097347635966
